,County Name,Civilian_labor_force_2019,Civilian_labor_force_2020,Median_Household_Income_2019,PCTPOVALL_2019
0,Autauga County,"26,281","25,838","58,233",12.1
1,Baldwin County,"97,424","96,763","59,871",10.1
2,Barbour County,"8,502","8,587","35,972",27.1
3,Bibb County,"8,639","8,640","47,918",20.3
4,Blount County,"25,196","24,661","52,902",16.3
5,Bullock County,"4,785","4,818","31,906",30.0
6,Butler County,"9,172","9,056","39,944",21.6
7,Calhoun County,"46,082","46,240","47,747",17.2
8,Chambers County,"15,749","15,865","42,015",19.6
9,Cherokee County,"11,726","11,513","45,982",15.9
10,Chilton County,"19,841","19,592","49,692",16.0
11,Choctaw County,"4,645","4,621","39,808",22.6
12,Clarke County,"7,588","7,769","43,822",18.4
13,Clay County,"6,068","6,083","40,562",16.6
14,Cleburne County,"5,773","5,737","51,276",13.3
15,Coffee County,"21,741","21,502","57,299",15.0
16,Colbert County,"23,703","23,558","46,683",14.6
17,Conecuh County,"4,499","4,529","41,539",22.2
18,Coosa County,"4,505","4,392","42,024",17.1
19,Covington County,"15,545","15,172","44,836",17.2
20,Crenshaw County,"6,436","6,253","43,309",16.8
21,Cullman County,"38,541","38,310","50,897",12.2
22,Dale County,"20,600","20,710","45,120",18.1
23,Dallas County,"14,655","14,619","34,034",26.0
24,DeKalb County,"31,148","30,736","44,277",18.2
25,Elmore County,"37,236","36,620","62,310",11.4
26,Escambia County,"14,613","14,453","42,712",20.5
27,Etowah County,"42,462","40,724","43,047",18.8
28,Fayette County,"6,582","6,562","44,212",17.0
29,Franklin County,"14,592","14,424","44,874",16.1
30,Geneva County,"10,930","10,835","43,089",16.1
31,Greene County,"2,889","3,015","28,699",31.7
32,Hale County,"6,076","6,075","40,745",20.5
33,Henry County,"6,882","6,814","48,597",17.2
34,Houston County,"46,298","46,358","50,138",19.4
35,Jackson County,"23,326","22,840","44,322",14.7
36,Jefferson County,"316,802","315,957","54,127",16.2
37,Lamar County,"5,802","5,730","42,686",15.3
38,Lauderdale County,"42,448","41,931","48,188",15.7
39,Lawrence County,"14,230","14,363","47,797",17.7
40,Lee County,"76,375","75,564","54,160",15.5
41,Limestone County,"44,272","44,624","64,729",12.0
42,Lowndes County,"3,499","3,661","33,930",26.6
43,Macon County,"7,856","8,063","34,281",29.3
44,Madison County,"184,941","187,247","68,609",11.5
45,Marengo County,"7,681","7,766","38,838",24.8
46,Marion County,"12,748","13,034","44,675",16.9
47,Marshall County,"44,060","44,275","48,913",15.7
48,Mobile County,"188,741","190,882","49,492",17.7
49,Monroe County,"7,320","7,474","40,005",23.3
50,Montgomery County,"106,077","107,103","52,711",15.8
51,Morgan County,"58,288","58,899","54,355",13.7
52,Perry County,"3,381","3,437","29,572",33.9
53,Pickens County,"7,904","7,660","40,249",24.3
54,Pike County,"15,331","15,636","41,271",21.8
55,Randolph County,"9,497","9,414","42,922",17.5
56,Russell County,"23,708","23,500","43,670",18.9
57,St. Clair County,"40,698","40,132","65,403",11.2
58,Shelby County,"116,412","114,048","77,801",6.2
59,Sumter County,"4,755","4,745","29,209",36.4
60,Talladega County,"35,654","36,123","47,719",17.4
61,Tallapoosa County,"18,452","17,864","47,100",16.0
62,Tuscaloosa County,"104,950","102,222","52,307",16.2
63,Walker County,"25,148","24,877","45,991",17.3
64,Washington County,"6,699","6,729","48,864",18.6
65,Wilcox County,"2,706","2,871","30,998",32.5
66,Winston County,"10,122","10,017","40,827",16.7
67,Aleutians East Borough,"2,560","2,523","66,923",14.8
68,Aleutians West Census Area,"3,657","3,732","84,726",7.6
69,Bethel Census Area,"7,098","6,963","48,262",23.5
70,Bristol Bay Borough,451,417,"87,950",9.8
71,Denali Borough,"1,102",680,"78,434",6.6
72,Dillingham Census Area,"1,987","1,742","57,436",18.1
73,Fairbanks North Star Borough,"45,510","44,679","74,076",7.2
74,Haines Borough,"1,133","1,018","62,548",9.8
75,Hoonah-Angoon Census Area,"1,193","1,050","53,141",15.7
76,Kenai Peninsula Borough,"26,551","26,341","68,625",10.4
77,Ketchikan Gateway Borough,"7,022","6,520","75,706",9.4
78,Kodiak Island Borough,"5,988","6,090","79,669",7.1
79,Kusilvak Census Area,"2,652","2,299","35,369",26.8
80,Lake and Peninsula Borough,710,689,"51,693",17.4
81,Matanuska-Susitna Borough,"48,361","47,848","75,856",9.6
82,Nome Census Area,"4,032","3,927","58,464",20.7
83,North Slope Borough,"3,561","3,200","84,784",11.4
84,Northwest Arctic Borough,"2,908","2,942","61,660",24.0
85,Petersburg Borough,"1,414","1,415","71,296",6.7
86,Prince of Wales-Hyder Census Area,"2,889","2,828","50,049",17.6
87,Skagway Municipality,12,,,4.0
88,Southeast Fairbanks Census Area,12,280,273,12.0
89,Valdez-Cordova Census Area,11,396,437,8.6
90,Yukon-Koyukuk Census Area,12,303,297,24.4
91,Apache County,6,"1,719","1,812",33.4
92,Cochise County,2,"2,191","2,446",16.6
93,Coconino County,2,"2,745","2,988",15.9
94,Gila County,3,"1,072","1,185",21.1
95,Graham County,8,669,747,20.1
96,Greenlee County,9,166,274,9.3
97,La Paz County,4,485,469,22.1
98,Maricopa County,1,"51,948","69,153",12.2
99,Mohave County,2,"3,066","3,503",16.0
100,Navajo County,5,"2,487","2,676",25.2
101,Pima County,2,"15,214","18,091",14.0
102,Pinal County,1,"3,182","3,879",12.1
103,Santa Cruz County,5,"1,216","1,316",18.8
104,Yavapai County,2,"3,053","3,477",12.0
105,Yuma County,2,"10,574","10,831",20.4
106,Arkansas County,6,457,467,15.8
107,Ashley County,11,610,751,18.5
108,Baxter County,8,668,857,12.7
109,Benton County,2,"2,116","2,322",8.9
110,Boone County,8,669,814,15.1
111,Bradley County,9,326,370,22.9
112,Calhoun County,8,139,139,15.4
113,Carroll County,6,505,516,14.7
114,Chicot County,9,393,463,31.0
115,Clark County,8,475,510,20.6
116,Clay County,9,430,534,18.7
117,Cleburne County,6,478,496,14.1
118,Cleveland County,2,191,217,13.7
119,Columbia County,8,571,561,21.2
120,Conway County,6,563,449,15.6
121,Craighead County,2,"1,677","1,900",16.9
122,Crawford County,2,875,"1,007",18.3
123,Crittenden County,1,896,"1,097",22.4
124,Cross County,4,402,487,17.8
125,Dallas County,6,211,255,18.8
126,Desha County,6,508,525,25.4
127,Drew County,6,512,707,18.5
128,Faulkner County,2,"1,628","2,032",14.4
129,Franklin County,6,269,299,16.2
130,Fulton County,9,191,244,17.7
131,Garland County,2,"1,623","1,777",16.9
132,Grant County,2,317,411,12.1
133,Greene County,5,860,"1,196",15.5
134,Hempstead County,6,501,498,18.5
135,Hot Spring County,5,597,719,20.2
136,Howard County,6,279,331,16.8
137,Independence County,8,798,909,15.9
138,Izard County,10,241,289,15.9
139,Jackson County,6,573,564,22.9
140,Jefferson County,2,"2,054","2,383",24.4
141,Johnson County,9,422,469,17.5
142,Lafayette County,7,202,172,25.5
143,Lawrence County,6,413,502,18.4
144,Lee County,9,287,340,35.4
145,Lincoln County,2,305,352,27.1
146,Little River County,2,290,255,17.8
147,Logan County,6,400,482,17.4
148,Lonoke County,2,866,995,10.7
149,Madison County,2,213,234,16.4
150,Marion County,10,252,354,16.3
151,Miller County,2,803,801,14.1
152,Mississippi County,3,"1,735","2,399",23.0
153,Monroe County,9,205,246,25.5
154,Montgomery County,7,165,186,19.9
155,Nevada County,9,216,212,24.1
156,Newton County,8,160,192,18.1
157,Ouachita County,8,720,885,17.3
158,Perry County,2,235,251,16.5
159,Phillips County,3,591,710,33.3
160,Pike County,10,223,243,16.9
161,Poinsett County,2,537,803,23.1
162,Polk County,11,363,414,20.2
163,Pope County,8,"1,122","1,142",16.9
164,Prairie County,7,190,195,15.0
165,Pulaski County,2,"6,804","7,629",14.6
166,Randolph County,9,431,569,17.3
167,St. Francis County,3,749,814,32.0
168,Saline County,2,"1,380","1,536",9.6
169,Scott County,6,170,193,19.6
170,Searcy County,10,161,161,22.4
171,Sebastian County,2,"1,877","2,192",15.9
172,Sevier County,6,272,303,17.7
173,Sharp County,9,338,391,23.3
174,Stone County,9,202,245,19.3
175,Union County,8,942,"1,011",18.9
176,Van Buren County,6,349,411,19.9
177,Washington County,2,"2,404","2,530",15.1
178,White County,5,"1,456","1,591",15.4
179,Woodruff County,10,232,243,27.1
180,Yell County,5,392,361,15.6
181,Alameda County,1,"27,390","37,353",8.9
182,Alpine County,4,35,42,17.2
183,Amador County,4,783,820,9.8
184,Butte County,2,"5,709","6,289",16.1
185,Calaveras County,6,999,"1,044",12.1
186,Colusa County,4,"1,059","1,172",12.0
187,Contra Costa County,1,"17,528","20,676",7.9
188,Del Norte County,8,750,821,17.9
189,El Dorado County,1,"3,359","3,625",8.7
190,Fresno County,2,"39,902","41,704",20.5
191,Glenn County,6,942,987,12.1
192,Humboldt County,8,"3,439","3,633",19.1
193,Imperial County,2,"9,654","8,883",22.0
194,Inyo County,11,407,411,11.7
195,Kern County,2,"23,938","25,595",19.0
196,Kings County,2,"4,857","5,384",16.0
197,Lake County,5,"1,656","1,749",18.3
198,Lassen County,8,801,857,16.5
199,Los Angeles County,1,"251,954","271,106",13.4
200,Madera County,2,"4,716","5,174",17.6
201,Marin County,1,"3,989","4,940",6.9
202,Mariposa County,7,486,488,15.1
203,Mendocino County,5,"2,395","2,659",14.0
204,Merced County,2,"8,566","9,350",17.0
205,Modoc County,6,278,272,20.5
206,Mono County,11,339,357,10.1
207,Monterey County,2,"14,798","16,028",12.6
208,Napa County,2,"2,367","2,564",7.4
209,Nevada County,3,"1,862","2,066",9.4
210,Orange County,1,"51,398","60,044",9.5
211,Placer County,1,"4,694","5,600",6.6
212,Plumas County,12,687,757,13.2
213,Riverside County,1,"36,071","39,223",11.3
214,Sacramento County,1,"26,064","28,365",12.6
215,San Benito County,1,"1,628","1,749",10.4
216,San Bernardino County,1,"34,973","38,816",13.3
217,San Diego County,1,"53,104","59,183",10.3
218,San Joaquin County,2,"17,793","19,957",13.6
219,San Luis Obispo County,2,"4,874","5,095",11.6
220,San Mateo County,1,"11,270","15,042",6.1
221,Santa Barbara County,2,"8,724","8,979",12.0
222,Santa Clara County,1,"28,799","47,810",6.1
223,Santa Cruz County,2,"7,491","8,627",10.6
224,Shasta County,2,"4,484","4,940",13.3
225,Sierra County,7,104,126,12.7
226,Siskiyou County,6,"1,425","1,534",17.4
227,Solano County,2,"8,886","9,109",9.0
228,Sonoma County,2,"8,402","9,511",7.2
229,Stanislaus County,2,"15,967","17,952",13.0
230,Sutter County,2,"3,513","3,761",12.8
231,Tehama County,5,"1,521","1,613",16.3
232,Trinity County,6,495,503,16.5
233,Tulare County,2,"17,641","20,106",18.9
