,State Name,County Name,PERCENT_MALE,PERCENT_FEMALE,Age 16 to 24,Age 25 to 34,Age 35 to 54,Age 55 and Up
0,Alabama,Autauga County,48.49,51.51,12.24,13.12,26.7,28.98
1,Alabama,Baldwin County,48.49,51.51,10.83,11.27,24.84,35.5
2,Alabama,Barbour County,52.92,47.08,11.7,13.99,24.47,32.85
3,Alabama,Bibb County,53.27,46.73,11.66,14.89,27.22,29.65
4,Alabama,Blount County,49.24,50.76,11.72,12.02,25.42,31.92
5,Alabama,Bullock County,54.53,45.47,11.12,14.59,25.63,30.9
6,Alabama,Butler County,46.4,53.6,11.55,11.41,23.8,35.02
7,Alabama,Calhoun County,47.96,52.04,12.86,13.18,24.25,32.0
8,Alabama,Chambers County,47.8,52.2,11.13,12.71,24.03,34.76
9,Alabama,Cherokee County,49.34,50.66,10.58,10.73,23.85,39.47
10,Alabama,Chilton County,49.07,50.93,12.03,12.65,25.18,30.49
11,Alabama,Choctaw County,47.17,52.83,10.95,10.4,23.47,39.22
12,Alabama,Clarke County,47.21,52.79,12.32,11.32,24.15,34.87
13,Alabama,Clay County,48.71,51.29,11.35,10.95,24.99,35.94
14,Alabama,Cleburne County,49.23,50.77,10.93,11.65,25.13,33.62
15,Alabama,Coffee County,49.18,50.82,12.09,12.57,25.93,29.78
16,Alabama,Colbert County,47.81,52.19,11.06,13.01,24.38,34.08
17,Alabama,Conecuh County,47.72,52.28,10.91,10.92,22.43,38.77
18,Alabama,Coosa County,50.03,49.97,9.42,10.38,24.7,41.96
19,Alabama,Covington County,48.39,51.61,10.75,11.74,23.14,36.12
20,Alabama,Crenshaw County,48.54,51.46,11.68,11.94,23.82,33.91
21,Alabama,Cullman County,49.43,50.57,11.46,12.91,24.6,32.39
22,Alabama,Dale County,49.24,50.76,12.35,14.82,23.36,30.33
23,Alabama,Dallas County,46.18,53.82,12.82,11.58,22.64,33.71
24,Alabama,DeKalb County,49.75,50.25,12.51,11.92,25.25,30.68
25,Alabama,Elmore County,48.31,51.69,12.08,13.98,26.34,29.16
26,Alabama,Escambia County,50.3,49.7,11.45,13.58,24.99,31.32
27,Alabama,Etowah County,48.4,51.6,11.98,12.19,25.29,32.96
28,Alabama,Fayette County,48.69,51.31,11.19,11.47,23.7,36.12
29,Alabama,Franklin County,50.32,49.68,12.04,12.64,25.0,29.66
30,Alabama,Geneva County,48.83,51.17,10.89,11.51,24.69,34.97
31,Alabama,Greene County,47.21,52.79,11.32,11.59,21.08,38.07
32,Alabama,Hale County,47.44,52.56,11.94,12.01,22.5,34.15
33,Alabama,Henry County,48.29,51.71,10.71,10.56,24.95,37.24
34,Alabama,Houston County,47.82,52.18,11.72,13.03,24.9,31.44
35,Alabama,Jackson County,49.14,50.86,11.26,11.49,25.05,35.34
36,Alabama,Jefferson County,47.26,52.74,12.43,14.62,24.61,29.25
37,Alabama,Lamar County,48.97,51.03,10.95,10.85,24.15,36.58
38,Alabama,Lauderdale County,47.98,52.02,14.84,11.99,22.97,34.22
39,Alabama,Lawrence County,48.7,51.3,11.01,12.07,25.27,33.81
40,Alabama,Lee County,49.13,50.87,21.03,14.04,23.76,23.49
41,Alabama,Limestone County,49.99,50.01,11.75,13.07,28.05,28.87
42,Alabama,Lowndes County,46.99,53.01,11.01,12.56,22.74,35.03
43,Alabama,Macon County,45.48,54.52,20.11,11.52,19.73,34.51
44,Alabama,Madison County,48.9,51.1,13.21,14.16,25.15,29.55
45,Alabama,Marengo County,46.86,53.14,11.83,12.39,23.44,33.68
46,Alabama,Marion County,49.23,50.77,11.29,11.49,24.81,35.45
47,Alabama,Marshall County,49.31,50.69,12.08,12.4,24.19,30.33
48,Alabama,Mobile County,47.52,52.48,12.7,14.02,23.94,29.91
49,Alabama,Monroe County,47.6,52.4,12.2,10.85,23.82,36.04
50,Alabama,Montgomery County,46.98,53.02,13.66,14.38,24.22,28.12
51,Alabama,Morgan County,49.2,50.8,11.76,12.3,25.43,31.65
52,Alabama,Perry County,46.53,53.47,18.03,10.77,21.04,33.11
53,Alabama,Pickens County,50.25,49.75,11.98,13.54,24.89,33.8
54,Alabama,Pike County,48.07,51.93,25.52,12.01,20.03,26.54
55,Alabama,Randolph County,48.75,51.25,11.99,10.87,23.8,35.82
56,Alabama,Russell County,47.91,52.09,11.7,15.04,25.06,27.78
57,Alabama,St. Clair County,49.55,50.45,10.83,13.22,26.55,30.63
58,Alabama,Shelby County,48.32,51.68,12.52,12.04,27.54,28.99
59,Alabama,Sumter County,45.74,54.26,22.19,11.19,18.44,32.32
60,Alabama,Talladega County,48.11,51.89,12.4,12.92,25.07,32.52
61,Alabama,Tallapoosa County,48.46,51.54,10.74,11.45,23.23,37.6
62,Alabama,Tuscaloosa County,48.14,51.86,19.32,14.74,23.24,25.1
63,Alabama,Walker County,48.77,51.23,11.52,12.08,24.24,33.77
64,Alabama,Washington County,49.01,50.99,12.48,11.1,24.32,34.44
65,Alabama,Wilcox County,47.45,52.55,13.98,11.02,22.48,33.64
66,Alabama,Winston County,49.21,50.79,11.09,10.61,24.76,36.96
67,Alaska,Aleutians East Borough,67.52,32.48,10.01,15.28,42.4,25.83
68,Alaska,Aleutians West Census Area,65.96,34.04,9.57,18.02,38.82,23.8
69,Alaska,Anchorage Municipality,50.86,49.14,13.46,17.34,25.07,23.88
70,Alaska,Bethel Census Area,51.59,48.41,15.7,15.49,20.46,18.13
71,Alaska,Bristol Bay Borough,52.39,47.61,10.53,15.43,23.56,34.45
72,Alaska,Denali Borough,55.94,44.06,10.21,16.4,31.04,26.47
73,Alaska,Dillingham Census Area,50.71,49.29,13.83,15.76,20.77,22.29
74,Alaska,Fairbanks North Star Borough,53.79,46.21,16.25,18.45,22.86,22.08
75,Alaska,Haines Borough,49.84,50.16,10.32,9.8,24.62,41.46
76,Alaska,Hoonah-Angoon Census Area,53.21,46.79,8.8,9.82,23.09,43.39
77,Alaska,Juneau City and Borough,50.86,49.14,11.85,15.26,27.03,28.32
78,Alaska,Kenai Peninsula Borough,52.16,47.84,11.01,12.63,23.96,33.8
79,Alaska,Ketchikan Gateway Borough,51.13,48.87,11.55,13.87,25.21,31.7
80,Alaska,Kodiak Island Borough,53.07,46.93,12.87,16.65,24.76,24.43
81,Alaska,Kusilvak Census Area,52.66,47.34,16.29,16.01,17.1,15.0
82,Alaska,Lake and Peninsula Borough,51.07,48.93,12.69,13.38,24.81,24.81
83,Alaska,Matanuska-Susitna Borough,51.89,48.11,12.28,14.32,25.6,25.79
84,Alaska,Nome Census Area,52.65,47.35,14.65,15.68,21.68,18.41
85,Alaska,North Slope Borough,62.36,37.64,11.44,15.97,28.59,21.08
86,Alaska,Northwest Arctic Borough,53.79,46.21,14.41,16.23,20.56,17.37
87,Alaska,Petersburg Borough,51.93,48.07,10.41,12.25,24.1,35.92
88,Alaska,Prince of Wales-Hyder Census Area,54.91,45.09,10.79,11.66,24.2,34.58
89,Alaska,Sitka City and Borough,50.97,49.03,10.75,15.32,25.92,30.64
90,Alaska,Skagway Municipality,52.41,47.59,5.92,17.58,34.15,28.74
91,Alaska,Southeast Fairbanks Census Area,55.03,44.97,10.53,14.03,24.91,29.51
92,Alaska,Valdez-Cordova Census Area,53.02,46.98,10.67,13.67,24.78,31.21
93,Alaska,Wrangell City and Borough,52.0,48.0,9.95,9.99,20.14,43.49
94,Alaska,Yakutat City and Borough,55.44,44.56,10.19,13.13,25.73,36.1
95,Alaska,Yukon-Koyukuk Census Area,52.77,47.23,11.82,13.21,21.63,29.33
96,Arizona,Apache County,49.36,50.64,13.75,13.28,21.93,28.72
97,Arizona,Cochise County,50.63,49.37,11.67,12.36,21.75,36.37
98,Arizona,Coconino County,49.29,50.71,24.02,14.01,20.97,24.34
99,Arizona,Gila County,49.59,50.41,9.45,10.04,18.86,45.13
100,Arizona,Graham County,53.58,46.42,14.65,14.92,23.95,24.15
101,Arizona,Greenlee County,51.76,48.24,12.87,14.63,24.9,24.48
102,Arizona,La Paz County,51.26,48.74,8.34,8.95,16.9,51.94
103,Arizona,Maricopa County,49.43,50.57,13.29,14.68,25.42,27.17
104,Arizona,Mohave County,50.59,49.41,8.92,10.35,19.58,47.41
105,Arizona,Navajo County,50.01,49.99,12.36,12.16,21.42,32.15
106,Arizona,Pima County,49.23,50.77,15.09,12.95,22.25,32.65
107,Arizona,Pinal County,52.07,47.93,11.53,13.22,24.14,32.68
108,Arizona,Santa Cruz County,48.21,51.79,13.8,11.57,22.02,30.58
109,Arizona,Yavapai County,48.86,51.14,9.22,9.12,18.95,49.59
110,Arizona,Yuma County,51.5,48.5,15.07,14.0,20.87,29.08
111,Arkansas,Arkansas County,48.25,51.75,10.77,11.69,23.84,34.52
112,Arkansas,Ashley County,48.74,51.26,11.55,11.23,23.79,35.08
113,Arkansas,Baxter County,48.52,51.48,9.03,9.49,20.23,46.69
114,Arkansas,Benton County,49.75,50.25,12.46,14.78,26.66,24.41
115,Arkansas,Boone County,49.28,50.72,11.14,11.65,23.75,34.56
116,Arkansas,Bradley County,48.97,51.03,11.21,12.0,24.28,32.52
117,Arkansas,Calhoun County,50.53,49.47,10.6,12.01,23.86,37.83
118,Arkansas,Carroll County,49.83,50.17,10.67,10.72,22.26,38.47
119,Arkansas,Chicot County,50.38,49.62,11.79,10.64,22.73,36.54
120,Arkansas,Clark County,47.48,52.52,25.13,11.02,19.71,28.23
