,FIPS Code,County Name,State,Social Vulnerability Index (SVI),Percent adults fully vaccinated against COVID-19 (as of 6/10/21),Percent Hispanic,Percent American Indian/Alaska Native,Percent  Asian,Percent  Black,Percent Native Hawaiian/Pacific Islander,Percent White
0,1001,Autauga County,Alabama,0.44,0.288,0.0283,0.0025,0.0103,0.19,0.0001,0.746
1,1003,Baldwin County,Alabama,0.22,0.336,0.0456,0.0065,0.0092,0.0917,0,0.8307
2,1005,Barbour County,Alabama,1,0.257,0.0436,0.0029,0.0048,0.4744,0,0.4581
3,1007,Bibb County,Alabama,0.6,0.222,0.0257,0.0013,0.0012,0.2214,0,0.7453
4,1009,Blount County,Alabama,0.42,0.215,0.0926,0.0007,0.0037,0.0153,0.0004,0.8689
5,1011,Bullock County,Alabama,0.89,0.382,0.0256,0,0.0049,0.748,0,0.2138
6,1013,Butler County,Alabama,0.87,0.298,0.014,0.0006,0.0035,0.4503,0,0.516
7,1015,Calhoun County,Alabama,0.83,0.341,0.038,0.0019,0.0088,0.2066,0.0001,0.7207
8,1017,Chambers County,Alabama,0.74,0.238,0.0238,0.0033,0.0112,0.3956,0,0.5555
9,1019,Cherokee County,Alabama,0.45,0.254,0.0159,0.0108,0.0025,0.046,0,0.9172
10,1021,Chilton County,Alabama,0.76,0.24,0.0785,0.0009,0.0044,0.0917,0,0.8013
11,1023,Choctaw County,Alabama,0.87,0.442,0.0041,0.0006,0.0013,0.4255,0,0.5638
12,1025,Clarke County,Alabama,0.85,0.355,0.0033,0.0011,0.0043,0.4577,0,0.5272
13,1027,Clay County,Alabama,0.56,0.303,0.0314,0,0.0016,0.1551,0,0.8036
14,1029,Cleburne County,Alabama,0.54,0.25,0.0246,0.0009,0.0002,0.0275,0,0.9269
15,1031,Coffee County,Alabama,0.54,0.271,0.0728,0.0116,0.0144,0.168,0,0.7015
16,1033,Colbert County,Alabama,0.43,0.383,0.0284,0.0058,0.0047,0.1608,0.0009,0.782
17,1035,Conecuh County,Alabama,0.81,0.312,0.0068,0.002,0.0045,0.4776,0,0.5005
18,1037,Coosa County,Alabama,0.53,0.308,0.0101,0.0007,0,0.3361,0,0.648
19,1039,Covington County,Alabama,0.77,0.254,0.0169,0.0006,0.0038,0.1339,0.0009,0.8329
20,1041,Crenshaw County,Alabama,0.69,0.271,0.0079,0.0066,0.0126,0.2313,0.0007,0.7098
21,1043,Cullman County,Alabama,0.52,0.305,0.0436,0.0028,0.0038,0.0125,0,0.9188
22,1045,Dale County,Alabama,0.76,0.406,0.0651,0.0057,0.0122,0.1978,0.0001,0.6857
23,1047,Dallas County,Alabama,0.95,0.313,0.0107,0.0009,0.0057,0.7043,0.0001,0.2732
24,1049,DeKalb County,Alabama,0.8,0.239,0.1455,0.0107,0.0012,0.0143,0.0021,0.8044
25,1051,Elmore County,Alabama,0.54,0.317,0.0296,0.0026,0.0054,0.2123,0,0.7316
26,1053,Escambia County,Alabama,0.86,0.256,0.0233,0.0398,0.0028,0.3198,0.0015,0.6023
27,1055,Etowah County,Alabama,0.66,0.303,0.0388,0.0037,0.0074,0.1544,0.0002,0.7786
28,1057,Fayette County,Alabama,0.7,0.274,0.018,0,0.0047,0.1117,0.0004,0.845
29,1059,Franklin County,Alabama,0.84,0.355,0.1716,0.0028,0.0037,0.0429,0,0.7685
30,1061,Geneva County,Alabama,0.8,0.291,0.0398,0.0089,0.0044,0.0941,0.0005,0.8385
31,1063,Greene County,Alabama,0.99,0.378,0.0174,0.0044,0,0.7946,0,0.1724
32,1065,Hale County,Alabama,0.96,0.478,0.0003,0.002,0.0022,0.5937,0,0.3953
33,1067,Henry County,Alabama,0.55,0.348,0.0262,0.0018,0.004,0.2655,0.001,0.6917
34,1069,Houston County,Alabama,0.68,0.325,0.0332,0.0025,0.0087,0.2676,0.0004,0.6646
35,1071,Jackson County,Alabama,0.57,0.361,0.0293,0.0112,0.0045,0.0342,0.0011,0.8925
36,1073,Jefferson County,Alabama,0.66,0.448,0.0387,0.0016,0.0157,0.428,0.0003,0.4989
37,1075,Lamar County,Alabama,0.63,0.345,0.0165,0.0002,0.0012,0.1065,0,0.8599
38,1077,Lauderdale County,Alabama,0.45,0.372,0.0268,0.0039,0.0064,0.1014,0.0007,0.8472
39,1079,Lawrence County,Alabama,0.5,0.372,0.0219,0.056,0.002,0.1058,0.0008,0.7649
40,1081,Lee County,Alabama,0.66,0.329,0.0368,0.0018,0.0411,0.2273,0,0.6744
41,1083,Limestone County,Alabama,0.53,0.291,0.0602,0.0068,0.0137,0.136,0.0006,0.7654
42,1085,Lowndes County,Alabama,0.92,0.353,0.005,0.0013,0,0.7436,0,0.2466
43,1087,Macon County,Alabama,0.9,0.34,0.0081,0.0009,0.0017,0.8254,0,0.1585
44,1089,Madison County,Alabama,0.31,0.472,0.0495,0.0056,0.0262,0.2405,0.0008,0.6468
45,1091,Marengo County,Alabama,0.76,0.409,0.0101,0.0011,0,0.5356,0,0.4488
46,1093,Marion County,Alabama,0.67,0.281,0.026,0.0047,0.0018,0.0343,0,0.9185
47,1095,Marshall County,Alabama,0.73,0.334,0.1397,0.0036,0.006,0.0267,0.0005,0.8075
